"OPR_HR","n","caiso","model","pct"
1,357,565.8,446.1,-21.2
2,357,598.7,470.5,-21.4
3,364,751.9,463,-38.4
4,365,768.3,460.6,-40
5,365,555.4,429.4,-22.7
6,365,451.5,442.6,-2
7,365,660.4,486.7,-26.3
8,365,1886.2,703.1,-62.7
9,361,4198.2,1182.6,-71.8
10,291,6070.1,1154.6,-81
11,356,6981.2,1225.2,-82.5
12,365,7404.2,1195.7,-83.9
13,365,7293.7,1145.5,-84.3
14,365,6800.6,1197.9,-82.4
15,365,5775.7,1199.4,-79.2
16,365,3957.9,1103.3,-72.1
17,365,2540.9,993.1,-60.9
18,365,1438.1,859.2,-40.3
19,365,761.2,738.9,-2.9
20,365,613.2,674.2,9.9
21,365,547.8,621.3,13.4
22,365,528.8,604.2,14.3
23,365,497.4,560.2,12.6
24,357,533.2,525.3,-1.5
25,1,264.6,120,-54.7
